"","empty","CITY","STATE","ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type","kff_url","price21","price30","price40","price50","price60"
"11",49,"SAN DIEGO","CA","92122",1386932,10.2,11.6,18,16.4,12.5,11.8,10,6.1,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ca&zip=92122&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",344,391,440,614,934
"12",63,"DENVER","CO","80202",715522,10.6,10.3,19.4,20.6,12.7,10,8.7,5.3,2.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=co&zip=80202&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",342,388,437,611,929
"13",75,"COLORADO SPRINGS","CO","80903",478961,12.1,12.8,15.9,14.9,11.8,11.9,10.9,6.4,3.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=co&zip=80903&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",355,403,454,634,964
"14",83,"BRIDGEPORT","CT","06602",148654,12.4,14.4,15.2,14.8,12.7,12.7,9.6,5.3,2.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ct&zip=06602&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",581,659,742,1037,1576
"15",85,"STAMFORD","CT","06902",135470,11.1,11,15.1,16.7,12.4,12.7,10.5,6.3,4.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ct&zip=06902&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",581,659,742,1037,1576
"16",89,"WILMINGTON","DE","19801",70898,12.6,13,14.7,15.4,11.3,12.6,11.1,6.2,3.1,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=de&zip=19801&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",418,474,534,746,1133
"17",95,"DOVER","DE","19901",39403,12,14.1,20,12.2,9.5,10.4,10.3,7.1,4.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=de&zip=19901&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",418,474,534,746,1133
"18",96,"JACKSONVILLE","FL","32244",949611,12,12.2,14.7,14.5,12,13,11.5,6.7,3.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=fl&zip=32244&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",372,422,475,664,1009
"19",97,"MIAMI","FL","33112",442241,9.3,9.1,14.5,17.5,13.8,13.5,10.4,7.1,4.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=fl&zip=33112&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",403,457,515,719,1093
"20",101,"ATLANTA","GA","30304",498715,9.8,10.6,22.6,18.7,12.1,10.5,8.2,5,2.6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ga&zip=30304&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",405,460,518,724,1100
"21",116,"COLUMBUS","GA","31907",206922,13.2,13.6,14.9,14,11.5,11.9,11.3,6.4,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ga&zip=31907&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",382,434,488,682,1037
"22",120,"URBAN HONOLULU","HI","96801",350964,9.2,9.6,13.3,14,12.4,13.3,13.1,8.9,6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=hi&zip=96801&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",386,438,493,689,1047
"23",121,"EAST HONOLULU","HI","96825",50922,8.5,11.7,7.8,9.2,12.3,15.1,15.1,12.6,7.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=hi&zip=96825&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",386,438,493,689,1047
"24",122,"BOISE","ID","83702",235684,10.7,12.8,16,14.6,12.3,11.8,11.3,7,3.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=id&zip=83702&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",339,385,433,605,920
"25",123,"MERIDIAN","ID","83642",117635,14.4,16.7,11.4,14.1,13.9,11,9.1,6.5,3.1,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=id&zip=83642&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",339,385,433,605,920
"26",124,"CHICAGO","IL","60604",2746388,10.9,11.5,17.9,17.4,12.7,11.5,9.8,5.5,2.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=il&zip=60604&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",312,354,398,556,846
"27",144,"AURORA","IL","60505",180542,13.5,16.5,13.6,14.2,14.9,12.4,8.4,4.4,2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=il&zip=60505&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",312,354,399,558,847
"28",147,"INDIANAPOLIS CITY (BALANCE)","IN","46201",887642,13.4,13.4,16,15.2,11.9,11.6,10.4,5.4,2.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=in&zip=46201&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",302,343,386,539,819
"29",148,"FORT WAYNE","IN","46802",263886,13.9,13.8,15,13.4,11.6,11.4,11.2,6.4,3.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=in&zip=46802&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",329,373,420,587,892
"30",149,"DES MOINES","IA","50318",214133,13.1,13.2,16.1,14.9,11.7,11.8,10.4,5.7,3.1,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ia&zip=50318&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",321,364,410,573,870
"31",176,"CEDAR RAPIDS","IA","52401",137710,12.5,12.9,15.2,14.2,11.6,11.8,10.8,6.6,4.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ia&zip=52401&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",332,377,425,593,902
"32",179,"WICHITA","KS","67208",397532,13.2,14.1,14.8,13.5,11.3,11.8,11.4,6.4,3.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ks&zip=67208&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",397,450,507,709,1077
"33",180,"OVERLAND PARK","KS","66202",197238,12,12.8,13.1,14,12.6,12.7,11.3,7.2,4.1,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ks&zip=66202&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",371,421,474,663,1008
"34",182,"LEXINGTON-FAYETTE URBAN","KY","40502",322570,11.6,13.3,17.2,14.5,12.2,11.2,10.3,6.2,3.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ky&zip=40502&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",332,377,424,593,901
"35",183,"NEW ORLEANS","LA","70113",383997,11.1,11.9,16.1,16.6,11.7,11.7,11.6,6.4,3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=la&zip=70113&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",369,419,472,660,1003
"36",194,"BATON ROUGE","LA","70801",227470,11.6,15,19.6,13.2,10.1,10.5,10.5,6.1,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=la&zip=70801&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",387,440,495,692,1051
