"","CITY","STATE","PHYSICAL ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type"
"534","SALT LAKE CITY","UT","84199",199723,10.1,11.7,23.7,17.3,11.8,9.6,8.5,4.8,2.4,"Urban"
"539","WEST VALLEY CITY","UT",NA,140230,15.6,17,15.1,14.8,13.1,10.4,8,4.3,1.7,"Urban"
"540","BURLINGTON","VT","05401",44743,7,15.8,31.4,12.9,8.2,8.6,8.4,5.1,2.6,"Urban"
"541","SOUTH BURLINGTON","VT",NA,20292,9.8,9.8,14.3,15.2,12.4,12.8,12.1,8.1,5.5,"Urban"
"542","VIRGINIA BEACH","VA","23452",459470,11.9,12.5,14.6,15,11.9,12.7,11.3,6.7,3.4,"Urban"
"543","VIRGINIA BEACH","VA","23464",459470,11.9,12.5,14.6,15,11.9,12.7,11.3,6.7,3.4,"Urban"
"545","CHESAPEAKE","VA","23320",249422,12.6,13.9,12.1,14.4,12.6,13.3,11.7,6.4,3,"Urban"
"546","SEATTLE","WA","98101",737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,"Urban"
"548","SEATTLE","WA","98105",737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,"Urban"
"549","SEATTLE","WA","98107",737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,"Urban"
"550","SEATTLE","WA","98134",737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,"Urban"
"551","SEATTLE","WA","98168",737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,"Urban"
"553","SPOKANE","WA","99201",228989,11.8,11.8,15.8,15.1,11.4,11.6,11.7,7,3.7,"Urban"
"555","SPOKANE","WA","99202",228989,11.8,11.8,15.8,15.1,11.4,11.6,11.7,7,3.7,"Urban"
"557","SPOKANE","WA","99218",228989,11.8,11.8,15.8,15.1,11.4,11.6,11.7,7,3.7,"Urban"
"558","CHARLESTON","WV","25301",48864,10.1,11.3,11.9,13,12.4,13,14.7,8.6,4.8,"Urban"
"561","HUNTINGTON","WV","25704",46842,9.6,12.7,18.4,12.9,11.2,11,11.8,8,4.4,"Urban"
"562","MILWAUKEE","WI","53203",577222,13.7,15,17.7,14.7,11.2,10.9,9.6,4.7,2.5,"Urban"
"570","MADISON","WI","53714",269840,9.6,11.8,24.7,16.1,10.2,9.5,9.3,5.7,3,"Urban"
"584","CHEYENNE","WY","82009",65132,12.3,12.4,13.5,15.1,11.2,11.8,11.8,7.6,4.3,"Urban"
"587","CASPER","WY",NA,59038,13.2,14,12.8,14.5,11.7,11.2,11.9,6.6,3.8,"Urban"
"588","BENNINGTON","VT",NA,8795,10.7,11.2,10.5,12.7,10.7,14.2,14.2,9.8,6.2,"Urban"
"110","RIDGEWAY","AK",NA,2136,11.1,15.6,8.7,11.9,11.9,12.4,16.3,8.8,3.3,"Rural"
"210","DELTANA","AK",NA,2359,13.2,15.1,9.6,11.6,11.6,14,14.7,8.3,2,"Rural"
"310","PRICEVILLE","AL",NA,3512,11.7,14.3,9.4,11.7,13.8,13.1,11,8.9,6.1,"Rural"
"410","SUMITON","AL",NA,2444,10.7,12.5,11.4,10.9,12.6,13.6,12.8,11,4.5,"Rural"
"510","HUNTSVILLE","AR",NA,2879,15.6,17.1,12.5,13.1,10,9.5,9.3,6.6,6.2,"Rural"
"6","BETHEL HEIGHTS","AR",NA,3015,18.9,19,14.6,15,12.2,9.9,5.7,2.9,1.7,"Rural"
"7","COLORADO CITY","AZ",NA,2478,20.2,33.5,16.1,12.1,7.6,4.7,3.3,1.5,1,"Rural"
"810","TIMBERLINE-FERNWOOD","AZ",NA,2572,10.9,13.1,8.2,10.9,13.6,16.2,17.1,8.4,1.6,"Rural"
"9","QUINCY","CA",NA,1630,8.9,13,10.9,13.9,10.6,10.2,17.9,9.3,5.2,"Rural"
"103","MEINERS OAKS","CA",NA,3911,10.1,12.3,10.1,11.8,12.2,12.8,17.1,9.4,4.4,"Rural"
"11","PALMER LAKE","CO",NA,2636,9.4,12.9,10,12.3,13.1,16,17,6.7,2.5,"Rural"
"12","LINCOLN PARK","CO",NA,3934,9.6,11.2,7.5,10,10.2,13.4,18.7,11.6,7.9,"Rural"
